tzWord,esWord,url,status
Ilinib'al,Aparato Digestivo,https://v2.dictionary.tzutujil.org/words/66724fc65a8ee2d55bcbbedf,Merged
Uxulaanib'al,Aparato respiratorio,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b5,Created
tesajaay,Apartamento,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561b6,Created
Sik'aj,Apazote,https://v2.dictionary.tzutujil.org/words/66724fc95a8ee2d55bcbbee1,Merged
Ruukaab' B'i'aaj,Apellidos,https://v2.dictionary.tzutujil.org/words/66724fcb5a8ee2d55bcbbee2,Merged
Kotichaaj,Apio,https://v2.dictionary.tzutujil.org/words/67b8a8a4b239fd045521da6d,Merged
Konojeel,Aplicativo,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561b7,Created
Ritzelal B'i'aaj,Apodo,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561b8,Created
kuchuneem,Aportar,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561b9,Created
Ch'uut,Apóstrofe,https://v2.dictionary.tzutujil.org/words/67345884ad3d490ac06a201a,Merged
Ojtaqineem,Aprender,https://v2.dictionary.tzutujil.org/words/66724fd15a8ee2d55bcbbee7,Merged
Naqajeem,Aproximación,https://v2.dictionary.tzutujil.org/words/66724fd45a8ee2d55bcbbeea,Merged
Naqajiineem,Aproximar,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561ba,Created
Lo'xil,Aragón,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561bb,Created
Am,Araña,https://v2.dictionary.tzutujil.org/words/66724fdd5a8ee2d55bcbbeef,Merged
Chee' Amaq',Árbol nacional,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561bc,Created
Nik'akot,Arco,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561bd,Created
Ixikonq'a',Arco Iris,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561be,Created
kuuk,Ardilla,https://v2.dictionary.tzutujil.org/words/66724fe25a8ee2d55bcbbef3,Merged
Ejtz'anib'al,Áreas deportivas,https://v2.dictionary.tzutujil.org/words/67b8a8942f1b785c39fb0296,Merged
Saqasanayi',Arena de campo,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561bf,Created
Raxasanayi',Arena de playa,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c0,Created
Ib'ooy,Armado,https://v2.dictionary.tzutujil.org/words/66724fea5a8ee2d55bcbbefa,Merged
K'amajo'b'eneem,Armonía,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c1,Created
Nimalajl,Arroba,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c2,Created
Ruuq'a' raqan ya',Arroyo,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c3,Created
saqiximil,Arroz,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c4,Created
Achib'alaaneem,Arte,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c5,Created
Retamab'aliil tzijob'al,Artes de lenguaje,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c6,Created
Retamab'aliil tzijob'al,Artes del Idioma,https://v2.dictionary.tzutujil.org/words/67bca0dfa53da53fac2561c6,Merged
Weqa'ileem,ARTES DEL LENGUAJE,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561c7,Created
Ch'ujtatziij,Articulaciones,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561c8,Created
Ch'u'tatziij,Articulo,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561c9,Created
Ch'ujtab'ii',Artículo,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561ca,Created
Mach'ujtab'ii',Artículo Determinativo,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561cb,Created
Ch'ajch'ojirisaaneem,Asear,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561cc,Created
Ch'ajch'ojiil,Aseo,https://v2.dictionary.tzutujil.org/words/667253e25a8ee2d55bcbc24e,Merged
Q'anasetul,Asia,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561cd,Created
Q'anawinaq,Asiáticos,https://v2.dictionary.tzutujil.org/words/667250045a8ee2d55bcbbf0e,Merged
Rukojoliil etamab'al,Asignatura,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561ce,Created
Kuchto'ooneem,Asistencia social,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561cf,Created
Chojq'ichi',Asociarse,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d0,Created
B'eyaliil,Aspecto,https://v2.dictionary.tzutujil.org/words/667253505a8ee2d55bcbc1ca,Merged
Kani'iil,Aspecto Completivo,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d1,Created
Mekani'iil,Aspecto Incompletivo,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d2,Created
K'ixk'oj,Áspero,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d3,Created
Muluch'umiil,Asteroide,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d4,Created
Lik'ich'umiil,Astro,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d5,Created
Retamab'aliil lik'ich'imiil,Astronomía,https://v2.dictionary.tzutujil.org/words/67bca0e0a53da53fac2561d6,Created
Xib'ineem,Asustarse,https://v2.dictionary.tzutujil.org/words/67bca0e1b4b6f87a499cc8a6,Created
Soto'im k'aam,Atarraya para profundidades,https://v2.dictionary.tzutujil.org/words/67bca0e2b4b6f87a499cc8a7,Created
Lik'ib'al ch'uu',Atarrayita,https://v2.dictionary.tzutujil.org/words/67bca0e2b4b6f87a499cc8a8,Created
Palowatinaamit,atlántico,https://v2.dictionary.tzutujil.org/words/67bca0e2b4b6f87a499cc8a9,Created
Kaq'iq'aal,Atmósfera,https://v2.dictionary.tzutujil.org/words/67bca0e2b4b6f87a499cc8aa,Created
Rejqale'n,atribuciones,https://v2.dictionary.tzutujil.org/words/67bca0e2a53da53fac2561d7,Created
Ixinak'u'xatziij,Atributivo,https://v2.dictionary.tzutujil.org/words/67bca0e2a53da53fac2561d8,Created
Ruuwac jaay,Atrio,https://v2.dictionary.tzutujil.org/words/67bca0e2a53da53fac2561d9,Created
tijonijaay,Aula,https://v2.dictionary.tzutujil.org/words/67b8a8952f1b785c39fb02a5,Merged
k'iyirisaneem,Aumentar,https://v2.dictionary.tzutujil.org/words/6672501e5a8ee2d55bcbbf1d,Merged
Nimarisaaneel,Aumentativos,https://v2.dictionary.tzutujil.org/words/67bca0e2a53da53fac2561da,Created
Ch'jch',Automóvil,https://v2.dictionary.tzutujil.org/words/67b8a89fb239fd045521da1b,Merged
K'ala'b'eey,Autopista,https://v2.dictionary.tzutujil.org/words/67bca0e2a53da53fac2561db,Created
"K'amol b'eey, Ajpop",Autoridad,https://v2.dictionary.tzutujil.org/words/667254735a8ee2d55bcbc2d1,Merged
Ajxik'aa',Ave,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561a8,Merged
Tz'ikin,"Ave, de todo género",https://v2.dictionary.tzutujil.org/words/667256d15a8ee2d55bcbc4f6,Merged
Pa'lib'eey,Avenida,https://v2.dictionary.tzutujil.org/words/67bca0e2a53da53fac2561dc,Created
Ajxik'aa',Aves,https://v2.dictionary.tzutujil.org/words/67bca0dea53da53fac2561a8,Merged
Xik'ach'ijch',Avión,https://v2.dictionary.tzutujil.org/words/67b8a89fb239fd045521da22,Merged
Ch'itin xik'ach'ijch',Avioneta,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561dd,Created
Aqaaj,Avispa,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561de,Created
Tok'oy,Avispa delgada y negra,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561df,Created
Ajch'ame'y,Avispa grande que pica,https://v2.dictionary.tzutujil.org/words/66724d58363683929dba6b94,Merged
Maske'laaj,Axilas,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e0,Created
K'uum,Ayote,https://v2.dictionary.tzutujil.org/words/667250285a8ee2d55bcbbf26,Merged
Tojq'aaneem,Ayudarse con algo,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e1,Created
Me'awayineel,Ayunador,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e2,Created
Me'awayineem,Ayunar,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e3,Created
Mewajeem,Ayuno,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e4,Created
K'ajakaab',Azúcar,https://v2.dictionary.tzutujil.org/words/67b8a8a92f1b785c39fb02e7,Merged
Lak'ajuut,Azucena,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e5,Created
Mataq'tami',Ballena,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e6,Created
Taara,Bambú,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e7,Created
Muxa'neem,Bañarse,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e8,Created
Tujaneem,Bañarse en temascal,https://v2.dictionary.tzutujil.org/words/6672503c5a8ee2d55bcbbf37,Merged
Pwoqab'al,Banco,https://v2.dictionary.tzutujil.org/words/67bca0e3a53da53fac2561e9,Created
Lakam,Bandera,https://v2.dictionary.tzutujil.org/words/67b8a8942f1b785c39fb029a,Merged
Isimachii',Barba,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561ea,Created
Nimajukuu',Barco,https://v2.dictionary.tzutujil.org/words/67b8a89fb239fd045521da21,Merged
Molaaj,Barrio,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561eb,Created
Kutamiil,Barros de la cara,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561ec,Created
Mees,Basura,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561ed,Created
Aq'e'm,Batea,https://v2.dictionary.tzutujil.org/words/667250525a8ee2d55bcbbf49,Merged
Wujab'al,Biblioteca,https://v2.dictionary.tzutujil.org/words/6672505c5a8ee2d55bcbbf50,Merged
pwoq,Billete,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561ee,Created
Wixikinati'aaj,Bisabuela,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561ef,Created
wixikinmam,Bisabuelo,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f0,Created
Ixikinamamaaj,Bisnietos,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f1,Created
Iximamaaj,Bisnietos de hombre,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f2,Created
ixikiniyaaj,Bisnietos de mujer,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f3,Created
Tzalawach,Bizco brazo,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f4,Created
Tees,Bledo,https://v2.dictionary.tzutujil.org/words/667250635a8ee2d55bcbbf55,Merged
Chi'aaj,"Boca, labios",https://v2.dictionary.tzutujil.org/words/667250685a8ee2d55bcbbf5a,Merged
Ya'l,Bolsa,https://v2.dictionary.tzutujil.org/words/667255d85a8ee2d55bcbc415,Merged
Joloya'l,Bolsa plástica,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f5,Created
Saqib'al,Bombilla,https://v2.dictionary.tzutujil.org/words/67bca0e4a53da53fac2561f6,Created
Chupub'al,Borrador,https://v2.dictionary.tzutujil.org/words/66724fc55a8ee2d55bcbbede,Merged
chupuuj,Borrar,https://v2.dictionary.tzutujil.org/words/67bca0e4b4b6f87a499cc8ab,Created
K'ichee'laaaj,Bosque,https://v2.dictionary.tzutujil.org/words/67bca0e5b4b6f87a499cc8ac,Created
Retamab'al chee'aq'ayiis,Botánica,https://v2.dictionary.tzutujil.org/words/67bca0e5b4b6f87a499cc8ad,Created
Lameeta,Botella,https://v2.dictionary.tzutujil.org/words/6672506c5a8ee2d55bcbbf5d,Merged
Jaaj,Brazada,https://v2.dictionary.tzutujil.org/words/6672506e5a8ee2d55bcbbf5f,Merged
Raxab'o'j ichaaj,Brócoli,https://v2.dictionary.tzutujil.org/words/67bca0e5b4b6f87a499cc8ae,Created
"Tukur, xikin",Búho o tecolote,https://v2.dictionary.tzutujil.org/words/667259735a8ee2d55bcbc758,Merged
Keej,Caballo,https://v2.dictionary.tzutujil.org/words/6672507b5a8ee2d55bcbbf6a,Merged
Keej,Caballo,https://v2.dictionary.tzutujil.org/words/6672507b5a8ee2d55bcbbf6a,Merged
Amaq'ixeel,Cabecera,https://v2.dictionary.tzutujil.org/words/67bca0e5b4b6f87a499cc8af,Created
Risimal wi'aaj,Cabello,https://v2.dictionary.tzutujil.org/words/67bca0e5b4b6f87a499cc8b0,Created
Wi'aaj,Cabeza,https://v2.dictionary.tzutujil.org/words/6672507d5a8ee2d55bcbbf6c,Merged
Ruutza'm uleew,Cabo,https://v2.dictionary.tzutujil.org/words/67bca0e5b4b6f87a499cc8b1,Created
