Wuuk'iin	Conmigo
Etamab'al	Conocimiento
Majooneem	Conquistar (invasión)
Ch'akooj	Conquistar (un trofeo)
Mookaaj rixin nuk'ul naa'ooj	Consejo asesor
Ruxe'al komon tziij	Considerando
Ruuk'iin	Consigo
Ch'akultz'ijb'	Consonante
Cholk'asleemaal	Constitución política
Wachalii'	Consuegros
ajilaneel	Contador
ajilaaneem	Contar
Uk'aaniil	Contenido
Awuuk'iin	Contigo
Setul	Continente
K'uleemaal	contititucion
To'oneem	Cooperar
To'on jaay	Cooperativa
Nuk'usamajineel	Coordinador
Nuk'usamajiineem	Coordinar
Ruuwi' chee'	Copa de árbol
Achib'aleem	Copiar
K'u'xaaj	Corazón
K'u'xa'q	Corazonada
K'sikaa'	Cordal caninos
Ju'junikiil	Correspondencia
K'amasaqiil	Corriente eléctrica
Kajuleew	Cosmovisión
K'alk'a'x	Costado
Pooxaaj	Costilla
Pooxaaj	Costillas
nop	Coyol
nop	Coyol
Utiiw	Coyote
Xolq'atin q'iij	Coyuntura (circunstancia)
Ruwi'juyu'	Cráter
Tz'ajatz'ijb'ab'al	Crayones
Winaqarisaaneem	Creación
K'ijyeem	Crecen
K'ijyeel	Creciente
Saqatzeb'	Crema
Nuq'axawachaaj	Cristalino
Kajatzuk'awuuj	Cuaderno de cuadricula
Kilowuuj	Cuaderno de dibujo
Ka'juxawuuj	Cuaderno de doble línea
T'ot'awuuj	Cuaderno de espiral
Ch'itiwuuj	Cuaderno de notas
aniwuuj	Cuaderno de taquigrafía
Kajatzuk'	Cuadrado
Kajatz'uk'	Cuadrado
Rukajul tz'ijb'	Cuadro fonémico
Rukajul q'ajatz'ijb'	Cuadro fonético
Ka'k'al	Cuarenta
Ruupaam q'ab'aaj	Cuarta
rukaaj	Cuarto
Ruukaaj ruuwach tijooneem	Cuarto diversificado
qulaaj	Cuello, garganta
choltun	Cuenta larga
k'aam	Cuerda
xamal	Cuerpo
Ruch'akul taqowuuj	Cuerpo de la carta
Xamal winaq	Cuerpo humano
Chajiin	Cuidado
Chajixik	Cuidar
Xukuleem	Culto religioso
B'aaluuk	Cuñado de hombre
Ejchaam	Cuñado de mujer
Kotojux	Curva
Tixli'	Danta
Chi jo'jtaq	De cinco en cinco
Chi kajkaj	De cuatro en cuatro
Lajujitaq	De diez en diez
Chi ka'ka'	De dos en dos en dos
B'elejetaq	De nueve en nueve
wajxaqitaq	De ocho en ocho
waqitaq	De seis en seis
chi ox ox	De tres en tres
Chi jujun	De uno en uno
Lajajunaa'	Década
Lajitaq	Decena
Rulajujil xo'iil	Decena de millar
Lajujiil	Decimal
lajujilaal	Decimales
Rulajejto'k'al	Decímetro
K'isiyeel	Decreciente
Rukowilal tziij	decreto
Rukowil tziij	Decreto
Ruuwi' q'ab'aaj	Dedos de la mano
Ruuwi' aqanaaj	Dedos del pie
Xaax	Delgada
Junawachiil	Democracia
Chilaxaq	Dentada
Nimaq reey	Dentudo
Ximoj ri'iil	Dependencia
Ijkiq'a'	Derecha
Rukowil chi'aaj	Derecho
Rucholajiil k'aslemaal	Derechos humanos
Jotaytziij	Derivación
Jotayineem	Derivar
Kaqpujink'u'xaal	desaliento
Najb'eywa'ineem	Desayunar
Najb'ey wa'iim	Desayuno
Talanik uleew	Desierto
Jech'ejik	Desigual
Jech'ejikeel	Desigualdad
Jiil	Desinencia
Jacob'eenm	Despedida
Taqoxeel	Destinatario
K'aas	Deuda
Ajk'aas	Deudor
Q'iij	Día
Jaltzijob'al	Dialecto
Tz'ijb'awuuj kowatziij	Diario oficial
eyaaj	Diente
kojoliil	Diferencia
Tasulitz	Difteria
Q'ijineel	Dignidad
Ch'itirisaneel	Diminutivos
Taqonel amaq'	Diputado
Ochochib'al	Dirección
Ochochib'al jaay	Dirección
Ochochib'al jaay	Dirección
Jikatziij	Direccional
Jiik	Directo
K'amol b'eey	Director
Nimantziij	Disciplina
Ka'xilatziij	Disílaba
Ko'pisaneem	Disminuir
kojoliil	Distancia
kojoliil	Distancia
Ruuwach tijoneem	Diversificado
Xolob che'	Diversos árboles
Jachataleel	Dividiendo
Jachooj	Dividir
Jachatatal	Divisible
Jachoneem	División
Rulewal q'anti'	División occidental
Ruweqa'I q'aqti'	División oriental
Jachooneel	Divisor
Ti'oneem/q'oxoweem	Dolor
Awaj tijk'om	Domestica
Warab'al	Dormitorio
Riij aqnaa	Dorso del pie
Rokib'al tziil	Drenaje
Manimantziij	Duda
Ki'	Dulce
Tara'sna	Durazno
Yab'iliik'	Eclipse de luna
Yab'il q'iij	Eclipse del sol
K'ulak'ut	Educación
Retamab'alil siloneem	Educación física
Retamab'aliil ochochib'al	Educación para el hogar
Ruuwi' tijoneem	Educación universitario
Sutub'al	Eje
Samajineem/tijon ri'iil	Ejercicio
Cha'oneem	Ejercito
Raxakinaq'	Ejotes
Arjaa'	El o ella
Ula'ajaay	Elección
Elesaneem	Eliminar
Eje'ee'	Ellos o ellas
Ula'neel	Embajada
Aq'omaneel	Embajador
Kowilaj chee'	Encino
Qajeem pa wi'aaj	Enfermera
Okob'al	Entender
Juun	Entero
Ruq'ijaal	Entrada
Ajilab'aneem	Enumerar
Ruuwach tz'umaal	Epidermis
Cha'oneem	Época
B'anb'aneliil	Ergatividad
B'anb'aneel	Ergativos
Sojlaxaq	Escamada
Lik'aya'	escarcha
K'utub'al	Escenario
B'ak'aliil	Esclavitud
B'ak'ali	Esclavo
rusaqil nuuwach	Esclerótica
nimasijna'y	Escorpión
Tz'ijb'aneem	Escribir
Mayatz'ijb'	Escritura maya
Samajtz'ijb'	Escritura practica
Ch'ob'otz'ijb'	Escritura técnica
Tz'ijb'	Escritura, letra
Ajilawach	Escrutinio
Pokob'	Escudo
Pokob'amaq'	Escudo nacional
Tijob'al	Escuela
Rupa'lib'al tijob'al	Escuela primaria
Rox k'exool	Esdrújulas
Ch'ijqo'mineem	Esforzar
Ch'ijqo'm	Esfuerzo
Lool	Esperanza
Xuk'uk'eem	esperanza
Ruwach'ejkaaj	espinilla
axayilaal	Esposa
Chak'ab'aaq	Esqueleto
Chak'ab'aaq winaq	Esqueleto humano
ejtz'anib'al	Estadio
Saqamaq'	Estado
K'ojileem	Estativos
Jaawa'	Este
Pamaaj	Estomago
Tijoxik	Estudio
Weqa'aaj	Etapas
okal	Eucalipto
Ruqajib'al xik'ach'ijch'	Euro puerto
Saqasetul	Europa
Saqawinaq	Europeos
Rutzijob'al Ajaaw	Evangelio
Rutzijoxiik rutzijob'al Ajaaw	Evangelización
Tz'aqat	Exacto
Ruuwi'	Exceso
Expedicion	Expedición
Solob'al b'eey	Extravío
nuq'ab'aqan	Extremidades
Aqanaaj waqan	Extremidades inferiores
Q'ab'aaj nuuq'a'	Extremidades superiores
Jachab'aliil	Factorización
Jachab'aaleem	Factorizar
Juwiq	Falange
Ka'wiq	Falangina
Alaxik	Familia
Ach'alal chi'	Familia lingüística
Ach'alaal ri'iil	Familiares
Jorjor	Faringe
K'ayib'al aq'oom	Farmacia
Chikopii'	Fauna
Yuqulib'al k'u'xaaj	Fe
Rajilab'al iik'	Fecha
Ki'iil	Feliz
Nimak'atan	Fiebre tifoidea
Cholaaj	Filas
Kojlaneem	Finalizar de comer
Ruuwi' q'ab'aaj	Firma
Retamab'al samajach'akuul	Fisiología
Ruwixal tziij	Flexión
Wixaneem	Flexionar
Ruusi'j parkiiy	Flor de izote
Pajrutz'	Flor de muerte
Kotz'amaq'	Flor nacional
Che'aal	Flora
Q'ajatz'ijb'	Fonética
Q'alatz'ijb'aneem	Fonología
B'eya'iil	Fórmula
Kiq'ayis chikopii'	Forrajera
Wech'	Fracción
Wech'ooj	Fraccionar
Ku'la tziij	Frase
B'i'aaj ko'la Tziij	Frase nominal
B'anoj ko'la tziij	Frase verbal
Chi RI', chi RI'	Frecuentativo
K'awachaaj	Frente
kaqatokaan	Fresa
Kinaq'	Fríjol
Siyaan kinaq'	Fríjol de colores
Riij awan	Fríjol de milpa
Ruuwach uleew	Fríjol de suelo
Q'aqakinaq'	Fríjol negro
Kaqakinaq'	Fríjol rojo
Wachineem	Fructificar
Wachineel	Fructuoso
Ruuwach chee'	Fruta de árbol
Raxamuniil	Frutas
Ruuwach	Fruto
kijqale'maal	Funciones
Pejtitziij	Futuro
Ikaan	Gallina ciega
Mama'	Gallo
K'il	Garbanzo
Siip	Garrapata
Yak'aqan	Garza
Wosaya'	Gaseosos
mix	Gato
Xijk	Gavilán
Retamab'aliil nimaleem	Geometría
Chikopiil	Gérmenes
Runum wachaaj	Glándulas lagrimales
Jes	Glotis
Muun	Glotón
champomaneel	Gobernado
ruk'ul chi' champomaneel	Gobernador
saqamaq'ijiin	Gobernante
Champomaaneel	Gobernante
saqamaq'ijineem	Gobernar
Champomaal	Gobierno
B'oqol sib'	Golondrina
B'oqol sib'	Golondrina
Muniil/ matz'ax'aki'	Golosinas
Tz'unun	Gorrión
K'olotz'ijb'	Gótica
Rejtalaal	Grado
B'ilamuniil	Granada
Bilatze'b'	Granadía
Nim	Grande
Xo'x	Grasa
Rukaab' k'exooj	Grave
Jik'uleew	Gravedad
Xi'xil	Grillo
Ojb'	Gripe o gripa
Piim	Gruesa
B'oraaj	Grupo de objetos
Kaqiix	Guacamaya
kaqiix	Guacamaya
Muuch'	Guachipilín
Ch'altza'm	Guardia de hacienda
Ikaq'	Guayaba
Sik' ch'a'ooj	Guerra
ajch'a'ola'	Guerrero
Ik'ooy	Güicoy
Ch'imaay	Güisquil
Juut	Gusano
Ruxee' ch'imaay	Ichíntal
Tziij	Idioma
junaam	Igual
junamiil	Igualdad
O'on	Iguana
Ma k'ulaaj ta	Impar
Me'ak'aslik	Inanimados
K'ajtik	Incendios
Soloj ri'iil	Independencia
B'anooj	Industria
Ruupaamtziij	Infijo
Ruuq'atziij	Inflexión
Rub'eyal saamaaj	Informe
Tz'ujuuneem	injuria
Me'aq'aliil	Inorgánicos
Mi'x	Insectos
Me'wariil	Insomio
Ya'ol ruuq'iij ulaa' taq winaq	Instituto de turismo
K'utuneem	Instrucción escolar
K'utuneem	Instruir enseñar
Chapab'al cho'm	Instrumento para camaronear
Chapab'al ch'uu'	Instrumento para pescar
Lajileel	Intensivo
Raal pwoq	Interés
Rejtaal k'utuneem	Interrogación
K'utuneem	Interrogar
K'utuuj	Interrogativa
junanil molaaj	Intersección
Ixkooloo'	Intestinos
Jab'aq'iij	Invierno
Jab'	invierno
Mena'oneem	Irracional
Ma qatziij ta	Irreal
Yak'ayik uleew	Istmo
Tzalajtz'ijb'	Italica
Pa b'ukuleew	Izabal
Xajil	Jacaltenanngo
Chi sanayi'	Jalapa
Sojl	Jiote
Q'inon	Jocote
Q'atol tziij	Juez
Jikib'aneel tzujuneem	Juez de instancia
Ch'uch'ujaq'etal tziij	Juez de paz
Kumatz'ach'umiil	Júpiter
Chi purya'	Jutiapa
Q'atab'al tziij	Juzgado
Tijb'al	La boratorio
Tijtab'al kematz'ijb'	Laboratorio de computación
Tijtab'al tijoneem	Laboratorio escolar
Tijtab'al aq'oom	Laboratorio medico
Tijtab'al xaniil	Laboratorio químico
Poron xaan	Ladrillo
Si'k	Lagartija
Chooy	Lago
Ya'al wachaaj	Lágrimas
chooy	Laguna
Metik'u'x	Laica
B'otasaq	Lamiluz
B'otach'ijch'	Lamina
B'otajaay	Lamina duralita
B'otach'ijch'	Laminas
kajasaqiil	Lámpara
Ch'ijch'ajukuu'	Lancha
Tz'ijb'ab'al	Lapicero
Che'atz'ijb'ab'al	Lápiz
Nim	Largo
Tz'uum	Leche
Tz'umawajkax	Leche de vaca
Xooch'	Lechuza
Paq'on sii'	Leña rajada
Aq'aaj	Lengua
Rutank'o'r ixikinaaj	Lenticular
Yuqutz'ijb'	Letra cursiva
Junatz'ijb'	Letra de molde
Rub'eeyal tziij rixin tinaamit	Ley del consejo nacional
junaniil	Libertad
Junaniil	Libertad
Kolotajik	Libertad de cautiverio
Alajil	Libertad democrática
Tziij	Libras
Sik'in wuuj	Libro
Tz'ajawuuj	Libro para colorear
Ajpojp	Líder
Ixajpojp	Lideraza
Tz'umamuniil	Lima
Jux	Línea
Jikajux	Línea recta
Soltzijob'al	Lingüística
B'aq'asaqiil	Linterna
Ya'yoj	Líquidos
Ruperaajiil	Literal
Ch'ujch'uliil	Litio
Punalam'et	Litro
K'ojlib'aneel	Locativo
Nimarab'ajti'iij	Longaniza
Ch'umil q'aaq'	Luciérnaga
K'ojlib'al	Lugar
Iik'	Luna
Alaj iik'	Luna nueva
Eeyaaj	Lunar
jo'ajunaa'	Lustro
K'amasaqiil	Luz eléctrica
Saqil q'iij	Luz natural
Q'utub'al	Machucador
Tz'alam	Madera
Tz'umanelaa'	Mamíferos
Ruuk'u'x ya'	Manantial
Q'ab'aaj	Mano
Kaxlan q'anaxo'x	Mantequilla
Nimamixk'u'	Manzana
Kotz'i'jaq'oom	Manzanilla
Aqa'winaq	Mapacha
palow	Mar
Rejtal ruq'ijool	Marcador de tiempo
Ajsi'olaa'	Marinos
Pepe'	Mariposa
tijpalow	Mariscos
B'ajib'al	Martillo
Talob'oon	Masacuate
Retamab'al ajilab'al	Matemática
Rulewaal chojq'aaq'	Materia y energía
Te'ej pamaaj	Matriz
Nimajachoneel	Máximo común divisor
Nimatz'ijb'	Mayúsculas
Nimako'li	Mediano
Aq'omaneel	Medico
Ch'utik'isb'al raqan ejtab'al	Medida de longitud
Q'oraal	Medida de masa
Ruchiset pamil ejtab'al	Medidas de capacidad
Ajliil ejtab'al	Medidas de peso
Q'ijol ejtab'al	Medidas de tiempo
Tinaamit ri'iil	Medio comunitario
Ijqanib'al ri'iil	Medio de transporte
Rutewul tijoneem	Medio escolar
Tz'ijb'an tziij	Medio escrito
Tzijon tziij	Medio oral
Xe'eeyaaj	Mejilla
Tukub'al	Meneador
Ch'iipiil	Meñique
Eeleel	Menos
Kajkate'	Mentón
K'ayib'al	Mercado
Q'anach'umiil	Mercurio
Nima'el etjo'k'al	Metro
Ejtak'al	Metros
Xu'y	Mezquino
Ch'itinuk'uleem	Microsistema
Nimanuk'uleem	Microsistema
Elenik taq winaq	Migrante
Elenik winaq	Migrante
Xo'ajunaa'	Milenio
Kutalq'o'	Milímetro
Tzaqb'it ramaq'am	Milla
Xo'iil	Millar
T'ij	Millón
Ya'aab'aj	Minerales
Ko'lajachoneel	Mínimo común multiplicador
chituy	Ministerio
chituy ajtijko'm	Ministerio de agricultura
chituy ajtziij ajtz'aaq	Ministerio de comunicaciones
chituy b'anob'al ejtz'neem	Ministerio de cultura y deporte
chituy ajpokob'	Ministerio de defensa Nacional
Chituy ajmeb'	Ministerio de economía
chituy ajtiij	Ministerio de educación
chituy ajpwoq	Ministerio de finanzas
chituy chajiineel	Ministerio de gobernación
chituy ajtziij	Ministerio de relaciones exteriores
chituy ajsamaaj	Ministerio de trabajo
ajchituy	Ministro
K'ama'eel	Minuendo
Ch'ititz'ijb'	Minúsculas
Kaqweqa'aq'iij	Minuto
xolawach	Mixto(fracción)
K'aqoneem	Moción
Pa tza'maaj	Moco
K'exata's	Modificadores de sustantivos
B'ajnikilaal	Modo
Rub'ajnikil b'anooj	Modo imperativo
K'ulb'a't	Mojón
mejaaj	Momento
Chi ruuwi' tz'aaq	Momostenango
Tesepowoq	Moneda
Saqakotz'i'j amaq'	Monja blanca
K'ichee'laaj	Montaña
Chaptziij	Morfema
Choltzijineem	Morfología
B'ijnel ya'	Motagua (río)
K'iy	Mucho
K'iyaal	Muchos
Tijkaleel	Multiplicable
K'iyirisaaneem	Multiplicación
Tijko'mineel	Multiplicador
Tikojixeel	Multiplicando
Tikooj	Multiplicar
Jachopaxeel	Múltiplo
Qulaq'ab'aaj	Muñeca
Q'atab'al tziij	Municipalidad
Ti'oojiil	Músculo
Ti'oojiil	Músculo
Ruuwach uleew	naturaleza
Rub'aniik, ruxe'aal k'in nrajob'eej	Naturaleza, principios y objetivo
manitziij	Negativo
B'i'aaj	Nombre
B'anob'al	Normas de conducta
Rutziijool	Noticias
Ruuk'u'x b'i'atziij	Núcleo del predicado
Ruuk'u'x b'anoneel	Núcleo del sujeto
Ch'aka'aaj	Numerador
Ajilab'aliil	Numeral
Ajilab'al	Numero
Ajilab'aliil	Numero cardenal
Cholajilab'al	Numero ordinal
Ilineem	Nutrición
Iliinik	Nutrir
Xajolo	Nylon
k'uluneel	Objeto
jikk'uluneel	Objeto directo
mak'uluneel	Objeto indirecto
Achsamaaj	Obligación
Jaqatzuk'	Obtuso
Raxasetul	Oceanía
